product_id,product_name,category,unit_cost,selling_price,safety_stock
P00478,Coffee Table 478,Furniture,1598.04,2809.71,31
P00479,First Aid Kit 479,Pharmacy,77.52,115.75,142
P00480,Ballpoint Pens 480,Office Supplies,37.94,63.22,140
P00481,Casual Shirt 481,Clothing,112.24,223.17,109
P00482,Smart Watch 482,Electronics,571.55,877.69,24
P00483,Bluetooth Speaker 483,Electronics,787.9,1075.45,60
P00484,Pasta Pack 484,Grocery,14.44,15.92,229
P00485,Gym Gloves 485,Sports,49.02,85.61,79
P00486,Desk Organizer 486,Office Supplies,53.42,69.87,186
P00487,Children's Story 487,Books,5.65,9.7,65
P00488,Antiseptic Spray 488,Pharmacy,6.63,11.19,136
P00489,Denim Jeans 489,Clothing,29.45,47.01,59
P00490,Coffee Table 490,Furniture,1935.39,2857.98,21
P00491,Children's Story 491,Books,9.35,18.47,88
P00492,Office Chair 492,Furniture,2972.65,4334.42,31
P00493,Laptop Stand 493,Electronics,184.15,248.92,55
P00494,Laptop Stand 494,Electronics,673.07,996.91,25
P00495,Children's Story 495,Books,40.47,64.7,42
P00496,Laptop Stand 496,Electronics,306.79,478.75,56
P00497,Allergy Pills 497,Pharmacy,9.42,11.72,85
P00498,Bluetooth Speaker 498,Electronics,261.42,402.63,21
P00499,Cotton T-Shirt 499,Clothing,116.55,257.89,90
P00500,First Aid Kit 500,Pharmacy,20.43,27.46,99
